"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","nCount_SCT","nFeature_SCT","SCT_snn_res.0.5","seurat_clusters","SCT_snn_res.0.4","SCT_snn_res.0.7","celltype"
"frog1_CELL2050_N1","SeuratProject",1594,1020,0,1600,1019,"0","0","0","0","AC"
"frog1_CELL1188_N1","SeuratProject",3004,1618,0,2234,1604,"6","6","6","6","RPE"
"frog1_CELL1960_N1","SeuratProject",1688,1013,0,1688,1011,"7","12","7","12","HC"
"frog1_CELL762_N1","SeuratProject",5389,2462,0,1615,1001,"21","26","20","26","RGC"
"frog1_CELL610_N1","SeuratProject",11139,4489,0,1673,1290,"0","0","0","0","AC"
"frog1_CELL720_N1","SeuratProject",5906,2718,0,1697,1163,"11","11","10","11","AC"
"frog1_CELL1403_N1","SeuratProject",2479,1311,0,2092,1311,"0","0","0","0","AC"
"frog1_CELL642_N1","SeuratProject",8121,3408,0,1862,1358,"9","8","8","8","RGC"
"frog1_CELL1091_N1","SeuratProject",3323,1585,0,2252,1503,"6","6","6","6","RPE"
"frog1_CELL732_N1","SeuratProject",5685,2177,0,1793,1092,"1","1","1","1","Rod"
"frog1_CELL2331_N1","SeuratProject",1343,868,0,1436,866,"12","34","11","34","AC"
"frog1_CELL1244_N1","SeuratProject",2839,1336,0,2095,1334,"7","12","7","12","HC"
"frog1_CELL1140_N1","SeuratProject",3278,1738,0,2280,1687,"11","11","10","11","AC"
"frog1_CELL1199_N1","SeuratProject",2985,1380,0,2123,1371,"0","0","0","0","AC"
"frog1_CELL707_N1","SeuratProject",6088,2783,0,1642,1052,"5","21","4","21","Muller"
"frog1_CELL845_N1","SeuratProject",4685,2498,0,1837,1386,"7","17","7","17","HC"
"frog1_CELL623_N1","SeuratProject",9311,2926,0,1883,1124,"1","1","1","1","Rod"
"frog1_CELL643_N1","SeuratProject",7812,3014,0,1869,1268,"8","32","5","32","BC"
"frog1_CELL1499_N1","SeuratProject",2299,1252,0,2065,1251,"5","7","4","7","Muller"
"frog1_CELL132_N2","SeuratProject",4830,1913,0,1748,960,"1","1","1","1","Rod"
"frog1_CELL78_N3","SeuratProject",6016,2548,0,1690,1015,"0","2","0","2","RGC"
"frog1_CELL337_N2","SeuratProject",4053,1931,0,2313,1611,"14","14","12","14","HC"
"frog1_CELL2635_N1","SeuratProject",1170,651,0,1466,650,"0","2","0","2","RGC"
"frog1_CELL2553_N1","SeuratProject",1209,662,0,1437,660,"12","13","11","13","AST"
"frog1_CELL1241_N1","SeuratProject",2985,1593,0,2180,1585,"4","4","3","4","Cone"
"frog1_CELL699_N1","SeuratProject",6097,2863,0,1629,1132,"12","13","11","13","AST"
"frog1_CELL1770_N1","SeuratProject",1899,1116,0,1871,1115,"18","22","16","22","RGC"
"frog1_CELL654_N1","SeuratProject",7370,3054,0,1765,1194,"1","1","1","1","Rod"
"frog1_CELL141_N2","SeuratProject",5603,2932,0,1475,1036,"1","1","1","1","Rod"
"frog1_CELL676_N1","SeuratProject",6848,3052,0,1787,1288,"11","11","10","11","AC"
"frog1_CELL2118_N1","SeuratProject",1574,770,0,1596,768,"8","9","5","9","BC"
"frog1_CELL1161_N1","SeuratProject",3103,1534,0,2209,1516,"5","7","4","7","Muller"
"frog1_CELL1020_N1","SeuratProject",3643,1656,0,2227,1482,"1","1","1","1","Rod"
"frog1_CELL330_N2","SeuratProject",2361,1256,0,2061,1252,"5","7","4","7","Muller"
"frog1_CELL1319_N1","SeuratProject",2751,1581,0,2129,1578,"7","17","7","17","HC"
"frog1_CELL1420_N1","SeuratProject",2416,1164,0,2037,1164,"0","2","0","2","RGC"
"frog1_CELL122_N3","SeuratProject",4503,1985,0,1939,1208,"1","1","1","1","Rod"
"frog1_CELL203_N3","SeuratProject",9257,3947,0,1693,1285,"1","1","1","1","Rod"
"frog1_CELL831_N1","SeuratProject",4715,2223,0,1797,1206,"7","12","7","12","HC"
